1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""none""","""present perfect""","""perfect aspect""","""no""","moreover , as the supreme court has held , that conflict must be weighed as a factor in determining whether there is an abuse of discretion .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""N/A""","""N/A""","""no""",metro .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""not applicable""","""not applicable""","""no""",life ins .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""2008""]","""not applicable""","""not applicable""","""no""","co. v. glenn , 128 s. ct . 2343 , 2348 ( 2008 ) ( emphasis added ) .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""","[""08/01/23"", ""June 6""]","""past""","[""denied"", ""failed"", ""relied"", ""ignored""]","""no""","case 0:23 - cv-02268 doc . 1 filed 08/01/23 page 3 of 7 4 americas decision , but unum life insurance company of america denied plaintiffs appeal on june 6 , unum life insurance company of americas decision to deny disability benefits was unreasonable , irrational , wrongful , contrary to the terms of the plan , contrary to the evidence and contrary to law , as demonstrated by the following non - exhaustive examples : a. unum life insurance company of america failed to have plaintiff independently examined , and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician ; b. unum life insurance company of america relied on the opinion of a medical professional who was financially biased by their relationship with unum life insurance company of america and as such unable to offer an unbiased opinion ; c. unum life insurance company of america relied on the opinion of a medical professional that was not supported by substantial case 0:23 - cv-02268 doc . 1 filed 08/01/23 page 4 of 7 5 evidence in the claim file , and was inconsistent with the overall evidence in the record ; d. unum life insurance company of america relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physicians ; e. unum life insurance company of america ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim ; f. unum life insurance company of america ignored and/or misrepresented the opinions of plaintiffs treating physicians .",,,,,,,,
"""yes""","""yes""","""no""",,"""no""","""no""","""no""","""no""","""no""","[""February 14, 2022""]","""present perfect""","""perfect aspect""","""no""","unum life insurance company of americas failure to provide plaintiff with disability benefits has caused plaintiff to be deprived of those benefits from february 14 , 2022 to the present .",,,,"""no""",,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""08/01/23""]","""future""","""will continue - future progressive""","""yes""","plaintiff will continue to be case 0:23 - cv-02268 doc . 1 filed 08/01/23 page 5 of 7 6 deprived of those benefits , and accordingly will continue to suffer future damages in an amount to be determined .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",unum life insurance company of america denied plaintiffs claim for disability benefits .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none specified""","""no""",plaintiff appealed unum life insurance company of 2,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","[""simple""]","""no""",[ a]n entity that is both the claims administrator and payor of benefits has a conflict of interest .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""2008""","""no verbs present""","""no verbs present""","""no""","jones v. mountaire corp . long term disability plan , 542 f. 3d 234 , 240 ( 8th cir . 2008 ) .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""present perfect""","""perfect aspect (has held)""","""no""","moreover , as the supreme court has held , that conflict must be weighed as a factor in determining whether there is an abuse of discretion .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""none""","""none""","""no""",metro .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""not applicable""","""not applicable""","""no""",life ins .,,,,,,,,
,,,,,,,,,,,,,"co. v. glenn , 128 s. ct . 2343 , 2348 ( 2008 ) ( emphasis added ) .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","[""08/01/23"", ""June 6""]","""Past tense""","""Simple past""","""no""","case 0:23 - cv-02268 doc . 1 filed 08/01/23 page 3 of 7 4 americas decision , but unum life insurance company of america denied plaintiffs appeal on june 6 , unum life insurance company of americas decision to deny disability benefits was unreasonable , irrational , wrongful , contrary to the terms of the plan , contrary to the evidence and contrary to law , as demonstrated by the following non - exhaustive examples : a. unum life insurance company of america failed to have plaintiff independently examined , and instead relied on the opinion of a medical professional who merely reviewed plaintiffs medical records and rejected the opinion of plaintiffs treating physician ; b. unum life insurance company of america relied on the opinion of a medical professional who was financially biased by their relationship with unum life insurance company of america and as such unable to offer an unbiased opinion ; c. unum life insurance company of america relied on the opinion of a medical professional that was not supported by substantial case 0:23 - cv-02268 doc . 1 filed 08/01/23 page 4 of 7 5 evidence in the claim file , and was inconsistent with the overall evidence in the record ; d. unum life insurance company of america relied on the opinion of a medical professional who was not qualified to refute the findings of plaintiffs physicians ; e. unum life insurance company of america ignored obvious medical evidence and took selective evidence out of context as a means to deny plaintiffs claim ; f. unum life insurance company of america ignored and/or misrepresented the opinions of plaintiffs treating physicians .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""February 14, 2022""","""Present Perfect""","""has (perfective)""","""no""","unum life insurance company of americas failure to provide plaintiff with disability benefits has caused plaintiff to be deprived of those benefits from february 14 , 2022 to the present .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""08/01/23""]","""Future""","""Will continue - future, progressive aspect""","""yes""","plaintiff will continue to be case 0:23 - cv-02268 doc . 1 filed 08/01/23 page 5 of 7 6 deprived of those benefits , and accordingly will continue to suffer future damages in an amount to be determined .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""February 2023""]","""past""","""simple""","""no""","in february of 2023 , a union representative engaged in physically intimidating conduct with a hospital manager .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","in response to the incident , the hospital limited the union representatives access to the hospital .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",the union disputed this response .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""past simple""","""no""","rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure , the union engaged in a work stoppage that included approximately 100 employees .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",many of these employees were on - duty and ceased doing work during working hours .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 2023""]","""present perfect""","""perfect aspect (have engaged)""","""no""","in other instances , including as recently as march 2023 , union representatives and union employees have engaged in work stoppages and stormed meetings and offices .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""March 15, 2023"", ""04/13/23""]","""past""","""none""","""no""","for example , on or about march 15 , 2023 , union representatives incited a work stoppage on the case 3:23 - cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours , rather than engage in the grievance and arbitration process as required by the contracts .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""February 2023""","""past""","""simple""","""no""","in february of 2023 , a union representative engaged in physically intimidating conduct with a hospital manager .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","in response to the incident , the hospital limited the union representatives access to the hospital .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",the union disputed this response .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure , the union engaged in a work stoppage that included approximately 100 employees .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",[],"""no""",many of these employees were on - duty and ceased doing work during working hours .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 2023""]","""Present perfect""","[""have engaged""]","""no""","in other instances , including as recently as march 2023 , union representatives and union employees have engaged in work stoppages and stormed meetings and offices .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""March 15, 2023"", ""04/13/23""]","""past""","""simple aspect""","""no""","for example , on or about march 15 , 2023 , union representatives incited a work stoppage on the case 3:23 - cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours , rather than engage in the grievance and arbitration process as required by the contracts .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""",", "" the complaint attached as exhibit 1 on its face , or within its four corners , meets the good cause standard described above .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""",[],"""no""","giving specific examples , the complaint sets out the spurious reasons for this repeated first - class air travel houston at iam expenses .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no explicit aspectual markers""","""no""","none of the casual , often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer , in charge of the iam financial affairs .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","[""02/15/24""]","""present""","""present""","""no""","and the conduct here is especially egregious because , under the iam constitution , she case 8:24 - cv-00454 - dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation .",,,,,,,,
"""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""",[],,"""Simple""","""yes""","among other purposes for this travel , defendant cervantes has nothing to do with collective bargaining , has no need to attend the local meetings , has no need to attend local get out the vote drives , has no need to engage in membership training , and especially has no need to do it in houston and nowhere else .","""Present""",,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","upon becoming an international officer of iam , cervantes was moved at considerable iam expense to upper marlboro , maryland , where the iam has its headquarters .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Present""","""none""","""no""","for iam accounting purposes , her official domicile is upper marlboro , maryland .",,,,,,,,
"""no""","""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","[""supposed to""]","""yes""","even if her immediate family is in houston , texas , she is supposed to travel there on her own time and only at her own expense .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""March 2021"", ""2015""]","""Past""","""Simple""","""no""","the applicant sandra gardner learned of the misuse of union funds only in march 2021 , when sito pantoja , the iam vice president at the time , obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women & amp ; infants hospital of rhode island , plaintiff , vs. c.a . no . new england health care employees union , district 1199 , seiu , defendant .",,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""",[],"""Present""","""Imperfective""","""No""","women & amp ; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 ( the lmra ) , 29 u.s.c . 185 , women & amp ; infants hospital of rhode island ( the hospital ) brings this complaint against new england health care employees union , district 1199 , seiu ( the union ) seeking damages as a direct and proximate result of the union inducing , encouraging , and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work , strike , slowdown , or work stoppage , in addition to declaratory and injunctive relief .",,,,,,,,
,,,,,,,,,,,,,"the union has engaged in such conduct beginning in may 2022 and as recently as march 15 , "" ,   venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""present""","""progressive ('are engaged')""","""no""",the duly authorized officers and case 3:23 - cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""no verbs present""","""no verbs present""","""no""",parties,,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""perfect aspect (has provided, has continued)""","""no""","the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations , and at all times relevant to this complaint , the union has continued to prosecute grievances and other rights under the contracts .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""",,"""present""",,"""yes""","case 3:23 - cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that , because the hospital must remain open all days of the year , employees may be required to work on holidays on the terms and conditions described in the contracts .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect (has abided)""","""no""",the hospital has at all times abided by these requirements in the contracts .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none, simple aspect""","""no""",the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","the union submitted a grievance over that issue , but did not pursue it .",,,,,,,,
"""Yes""","""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Present""","""Simple Aspect""","""No""",", "" the complaint attached as exhibit 1 on its face , or within its four corners , meets the good cause standard described above .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","giving specific examples , the complaint sets out the spurious reasons for this repeated first - class air travel houston at iam expenses .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""past""","""none""","""no""","none of the casual , often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer , in charge of the iam financial affairs .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""02/15/24""]","""present""","""none""","""no""","and the conduct here is especially egregious because , under the iam constitution , she case 8:24 - cv-00454 - dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation .",,,,,,,,
"""no""","""yes""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""",[],"""present""","""simple aspect""","""yes""","among other purposes for this travel , defendant cervantes has nothing to do with collective bargaining , has no need to attend the local meetings , has no need to attend local get out the vote drives , has no need to engage in membership training , and especially has no need to do it in houston and nowhere else .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no explicit aspectual markers""","""no""","upon becoming an international officer of iam , cervantes was moved at considerable iam expense to upper marlboro , maryland , where the iam has its headquarters .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","for iam accounting purposes , her official domicile is upper marlboro , maryland .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","[""is supposed to (modal verb indicating obligation)""]","""yes""","even if her immediate family is in houston , texas , she is supposed to travel there on her own time and only at her own expense .",,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","[""March 2021"", ""2015""]","""Past""","""Simple""","""No""","the applicant sandra gardner learned of the misuse of union funds only in march 2021 , when sito pantoja , the iam vice president at the time , obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women & amp ; infants hospital of rhode island , plaintiff , vs. c.a . no . new england health care employees union , district 1199 , seiu , defendant .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",,"""present""","""None specific aspectual markers noted; generic present tense usage.""","""yes""","women & amp ; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 ( the lmra ) , 29 u.s.c . 185 , women & amp ; infants hospital of rhode island ( the hospital ) brings this complaint against new england health care employees union , district 1199 , seiu ( the union ) seeking damages as a direct and proximate result of the union inducing , encouraging , and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work , strike , slowdown , or work stoppage , in addition to declaratory and injunctive relief .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",,"""present perfect""",,"""no""","the union has engaged in such conduct beginning in may 2022 and as recently as march 15 , "" ,   venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""present""","""progressive (are engaged)""","""no""",the duly authorized officers and case 3:23 - cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""N/A""","""N/A""","""no""",parties,,,,,,,,
"""Yes""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""January 22, 2021""","""Past""","""Began (inceptive aspect - marks the beginning of an action)""","""No""","despite no change in audreys need for daily skilled nursing services and no change in the language of the plan , after january 22 , 2021 bcbsil began denying mr . lous claims for audreys care .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""","[""February 16, 2021"", ""January 28, 2021"", ""April 30, 2021""]","""past""","""simple""","""no""","on february 16 , 2021 , bcbsil denied mr . lous request for benefits for the period from january 28 , 2021 through april 30 , as grounds for denying the benefits , bcbsils denial letter stated only that [ b]ased on your plan , our records show that the proposed services are not a covered benefit .",,,,,,,,
"""yes""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""future""","""would not be""","""yes""","because of this , any claims for these services would not be eligible for reimbursement .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""April 13, 2021""]","""past""","""none""","""no""","on april 13 , 2021 , maxim healthcare services ( maxim ) , the provider of skilled nursing services to audrey , submitted an administrative appeal of bcbsils claim denial on mr . lous behalf .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","in support of its appeal , maxim submitted letters of medical necessity from dr . john takayama , audreys primary care physician , and dr . ngoc ly , audreys pulmonologist and chief of pediatric pulmonology at ucsf benioff childrens hospital .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective aspect (e.g., 'established', 'evidenced')""","""no""",the letters both ( 1 ) established audreys ongoing need for daily skilled nursing care ; and ( 2 ) evidenced the fact that audreys need for daily skilled nursing care had not changed nor diminished over the period for which claims were submitted .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple""","""no""",mr . lou and his wife also personally attested to audreys ongoing need for daily medical assessment and skilled nursing care in support of the appeal .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfective aspect""","""no""",maxim also submitted extensive nursing care documentation evidencing audreys need for daily skilled nursing care .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""simple present""","""none""","""no""",audrey requires twelve hours of skilled nursing care daily for the ongoing clinical assessment of her respiratory needs and her overall health .,,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""simple""","""yes""","the daily professional medical care , clinical assessment and exercise of clinical judgment by licensed nurses is essential to prevent audrey from requiring repeated emergency and prolonged intensive care hospitalizations .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""April 2019"", ""January 22"", ""05/26/22""]","""simple past, present perfect""","""perfect aspect (have covered, accepted and paid)""","""no""","mr . lous employer - provided health benefit plans have always covered audreys daily skilled nursing care both during his tenure with his prior employer since audreys initial diagnosis , and under the plan from the date mr . lou was hired by accenture in april 2019 through january 22 , case 3:22 - cv-03091 document 1 filed 05/26/22 page 4 of 17 lou v. accenture u.s . group health plan , et al . , complaint 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 bcbsil accepted and paid all claims for audreys daily skilled nursing care from april 2019 through january 22 ,",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""February 19, 2021""","""past tense""","""simple aspect""","""no""",", "" on or about february 19 , 2021 , defendants martinez , allen , blondin , wallace , bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","""yes""",[],"""past""","""future marker in 'threatens', past marker in 'had been promoted', past marker in 'would be removed'""","""yes""","in the letter , defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign , defendant richard johnsen , who had been promoted to be defendant ip martinezs chief of staff , stated that pantoja would be removed from his position as gvp - transportation because of his opposition to defendant cervantes .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""March 19, 2021""]","""past""","""simple""","""no""","on or about march 19 , 2021 , the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 17""]","""past""","""perfective""","""no""","the new policy , which was facially discriminatory based on age , was approved by the defendants on the executive counsel on or shortly after june 17 , at the time the new policy was approved by the executive council , all of the defendants on the executive council planned on retiring at age 65 and , as a result , knew that pantoja was the only member of the executive council that would be adversely affected by the policy .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""past""",[],"""no""",the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda .,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""April 1, 2022""","""past""","""none""","""no""","e. pantojas removal from elected office on april 1 , 2022 pursuant to the mandatory retirement policy",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""November 25, 2020""]","""past""","""perfective""","""no""","on november 25 , 2020 , the district court granted the unions summary judgment motion and denied cdrts .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""2020""","""past tense""","""simple aspect""","""no""",cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit ( no . 20 - 6425 ) .,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""September 17, 2021""","""past""","""no explicit aspectual markers""","""no""","on september 17 , 2021 , however , the company and the union entered a settlement agreement that resolved the appeal .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""July 24, 2019""]","""past""","""none""","""no""","the settlement agreement is attached as exhibit d. in the settlement agreement , the parties agreed that they would arbitrate the sole issue of the calculation of backpay , as that remedy is referred to and defined in the july 24 , 2019 opinion and award of arbitrator mark c. travis .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""07/27/22""]","""past""","""modal verb 'would' indicating future-in-the-past""","""yes""",they further agreed that this arbitration would be before arbitrator travis . case 3:22 - cv-00386 - rgj document 1 filed 07/27/22 page 4 of 9 pageid # : 4 5 the remedy award,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no explicit markers, action described happened in the past but no ongoing or perfective aspect indicated""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""No""","""Yes""","""No""","""Yes""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Regular""","""No""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
,,,,,,,,,,,,,"but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""","""no""","[""end of May"", ""first 2 weeks of June""]","""present""","""future aspect ('are asking', 'are not allowing')""","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","[""perfect""]","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""yes""","""yes""","""yes""","""yes""","""yes""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""past""","""perfective""","""no""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",,"""past""","""began - inceptive aspect""","""no""","despite no change in audreys need for daily skilled nursing services and no change in the language of the plan , after january 22 , 2021 bcbsil began denying mr . lous claims for audreys care .",,,,,,,,
,,,,,,,,,,,,,"on february 16 , 2021 , bcbsil denied mr . lous request for benefits for the period from january 28 , 2021 through april 30 , as grounds for denying the benefits , bcbsils denial letter stated only that [ b]ased on your plan , our records show that the proposed services are not a covered benefit .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""future""","""modal (would)""","""yes""","because of this , any claims for these services would not be eligible for reimbursement .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""April 13, 2021""","""Past""","""Past Perfect""","""no""","on april 13 , 2021 , maxim healthcare services ( maxim ) , the provider of skilled nursing services to audrey , submitted an administrative appeal of bcbsils claim denial on mr . lous behalf .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","in support of its appeal , maxim submitted letters of medical necessity from dr . john takayama , audreys primary care physician , and dr . ngoc ly , audreys pulmonologist and chief of pediatric pulmonology at ucsf benioff childrens hospital .",,,,,,,,
